name,construction_time,checking_time,total_time,total,truth_violate,collusion_violate,optimal_violate,efficient_violate
"/home/liuye/fairness/performance/CryptoRomeAuction3.sol
",8.10,0.08,8.18,18,1,0,1,1
"/home/liuye/fairness/performance/CryptoRomeAuction4.sol
",29.59,0.10,29.69,54,1,1,1,1
"/home/liuye/fairness/performance/CryptoRomeAuction5.sol
",106.34,0.12,106.46,162,1,1,1,1
"/home/liuye/fairness/performance/CryptoRomeAuction6.sol
",378.10,0.17,378.27,486,1,1,1,1
"/home/liuye/fairness/performance/CryptoRomeAuction7.sol
",1262.29,0.32,1262.61,1458,1,1,1,1
"/home/liuye/fairness/performance/CryptoRomeAuction8.sol
",4301.52,0.92,4302.44,4374,1,1,1,1
"/home/liuye/fairness/performance/CryptoRomeAuction9.sol
",14708.33,4.42,14712.72,13122,1,1,1,1
